depth_m,qc_MPa,fs_kPa,u2_kPa,u_kPa
0.3,11.3129,37.4309,-1.379,-1.379
0.305,11.6497,38.5034,-1.379,-1.379
0.31,12.2213,40.5412,-1.379,-1.379
0.315,12.7522,42.9007,-1.379,-1.379
0.32,13.0708,45.2603,-1.379,-1.379
0.325,13.1534,47.298,-1.379,-1.379
0.33,13.2177,48.2633,-1.379,-1.379
0.335,13.3357,50.3011,-2.0684,-2.0684
0.34,13.6081,52.1244,-2.0684,-2.0684
0.345,13.7743,53.6259,-2.0684,-2.0684
0.35,13.8945,54.4839,-2.0684,-2.0684
0.355,13.991,56.1999,-2.0684,-2.0684
0.36,14.035,58.0232,-2.0684,-2.0684
0.365,14.1208,59.9537,-2.0684,-2.0684
0.37,14.1991,60.5973,-2.0684,-2.0684
0.375,14.2741,62.5278,-2.0684,-2.0684
0.38,14.3052,64.5656,-2.0684,-2.0684
0.385,14.3621,65.8526,-2.0684,-2.0684
0.39,14.4157,67.1396,-2.0684,-2.0684
0.395,14.45,67.6759,-1.379,-1.379
0.4,14.4618,68.8556,-1.379,-1.379
0.405,14.4629,70.0354,-1.379,-1.379
0.41,14.4661,70.7862,-1.379,-1.379
0.415,14.4758,71.4297,-1.379,-1.379
0.42,14.4876,71.7514,-1.379,-1.379
0.425,14.509,72.2877,-1.379,-1.379
0.43,14.5187,74.8617,-1.379,-1.379
0.435,14.5112,78.6156,-1.379,-1.379
0.44,14.4854,79.0446,-1.379,-1.379
0.445,14.4833,78.4011,-1.379,-1.379
0.45,14.4865,77.8648,-1.379,-1.379
0.455,14.4586,77.543,-1.379,-1.379
0.46,14.4168,77.2213,-1.379,-1.379
0.465,14.39,77.0068,-1.379,-1.379
0.47,14.3803,76.7923,-1.379,-1.379
0.475,14.3471,76.685,-1.379,-1.379
0.48,14.3128,76.3633,-1.379,-1.379
0.485,14.2688,76.256,-1.379,-1.379
0.49,14.2355,76.256,-1.379,-1.379
0.495,14.2152,76.685,-1.379,-1.379
0.5,14.1626,77.2213,-1.379,-1.379
0.505,14.1058,77.2213,-1.379,-1.379
0.51,14.0736,77.114,-1.379,-1.379
0.515,14.0843,76.5778,-1.379,-1.379
0.52,14.0725,76.4705,-1.379,-1.379
0.525,13.9824,76.4705,-1.379,-1.379
0.53,13.8601,76.685,-1.379,-1.379
0.535,13.8248,76.8995,-1.379,-1.379
0.54,13.8054,76.685,-1.379,-1.379
0.545,13.7904,76.3633,-0.6895,-0.6895
0.55,13.7508,76.3633,-0.6895,-0.6895
0.555,13.6993,76.256,-1.379,-1.379
0.56,13.6253,76.0415,-0.6895,-0.6895
0.565,13.5888,75.827,-0.6895,-0.6895
0.57,13.533,75.1835,-0.6895,-0.6895
0.575,13.5051,74.54,-0.6895,-0.6895
0.58,13.4708,74.4327,-0.6895,-0.6895
0.585,13.4226,74.54,-0.6895,-0.6895
0.59,13.4022,74.0037,-0.6895,-0.6895
0.595,13.3786,73.0385,-0.6895,-0.6895
0.6,13.3507,72.824,-0.6895,-0.6895
0.605,13.3132,72.7167,-0.6895,-0.6895
0.61,13.2885,73.7892,-0.6895,-0.6895
0.615,13.2456,74.54,-0.6895,-0.6895
0.62,13.2027,73.8965,-0.6895,-0.6895
0.625,13.1673,73.1457,-0.6895,-0.6895
0.63,13.1351,73.1457,-0.6895,-0.6895
0.635,13.1147,73.1457,-0.6895,-0.6895
0.64,13.0643,72.9312,-0.6895,-0.6895
0.645,13.0096,72.5022,-0.6895,-0.6895
0.65,12.9614,72.2877,-0.6895,-0.6895
0.655,12.9378,72.395,-0.6895,-0.6895
0.66,12.8573,71.9659,-0.6895,-0.6895
0.665,12.7823,71.0007,-0.6895,-0.6895
0.67,12.734,70.4644,-0.6895,-0.6895
0.675,12.704,70.1427,-0.6895,-0.6895
0.68,12.6321,70.1427,-0.6895,-0.6895
0.685,12.5613,70.0354,-0.6895,-0.6895
0.69,12.4916,70.0354,-1.379,-1.379
0.695,12.4391,70.0354,-1.379,-1.379
0.7,12.4015,69.9282,-1.379,-1.379
0.705,12.3146,69.8209,-1.379,-1.379
0.71,12.2353,69.9282,-1.379,-1.379
0.715,12.1752,69.6064,-1.379,-1.379
0.72,12.1152,68.8556,-1.379,-1.379
0.725,12.0551,68.4266,-1.379,-1.379
0.73,12.0261,67.5686,-1.379,-1.379
0.735,11.9672,67.3541,-1.379,-1.379
0.74,11.8985,67.2469,-1.379,-1.379
0.745,11.832,66.7106,-1.379,-1.379
